symbol,sectorCode,mapMethod,confidenceGrade
PRQR,BIO,RULE,B
PRAA,TELCO_MEDIA,ML_NAME_IMPUTED,C3
PSNYW,AUTO,RULE,B
PTEN,ENERGY,RULE,B
POLA,ENERGY,RULE,B
PYPD,SOFTWARE,ML_NAME_IMPUTED,C3
PRAX,BIO,RULE,B
PRPO,SOFTWARE,ML_NAME_IMPUTED,C3
PLUG,ENERGY,RULE,B
QMCO,IT_HW,RULE,B
PXLW,SEMI,ML_NAME_IMPUTED,C3
PLUR,CONSUMER,ML_NAME_IMPUTED,C3
PLUT,FINANCE,RULE,B
PLUS,CONSUMER,ML_NAME_IMPUTED,C3
PRCH,TELCO_MEDIA,ML_NAME_IMPUTED,C3
PSEC,FINANCE,RULE,B
PRTA,AUTO,ML_NAME_IMPUTED,C3
PTGX,BIO,RULE,B
PLXS,IT_HW,EXPLICIT,A
PRTH,IT_HW,RULE,B
PRCT,SHIP_DEF,RULE,B
PVLA,BIO,RULE,B
QDEL,BATTERY,ML_NAME_IMPUTED,C3
PYPL,FINANCE,EXPLICIT,A
PMA,IT_HW,RULE,B
QCRH,SOFTWARE,ML_NAME_IMPUTED,C3
PMN,BIO,ML_NAME_IMPUTED,C3
PRSO,CONSUMER,ML_NAME_IMPUTED,C3
PN,ENERGY,RULE,B
QMLS,SOFTWARE,ML_NAME_IMPUTED,C3
RCAT,CONSUMER,ML_NAME_IMPUTED,C3
RAND,FINANCE,RULE,B
RANI,BIO,RULE,B
REFI,FINANCE,RULE,B
RBB,FINANCE,RULE,B
RCBC,FINANCE,RULE,B
REFR,SEMI,ML_NAME_IMPUTED,C2
QS,BATTERY,EXPLICIT,A
RILY,FINANCE,RULE,B
RIME,SOFTWARE,ML_NAME_IMPUTED,C3
QTEX,IT_HW,RULE,B
REVB,BIO,RULE,B
RDCM,SEMI,ML_NAME_IMPUTED,C3
RCT,SOFTWARE,RULE,B
RAPP,BIO,RULE,B
RGLD,CHEM_STEEL,RULE,B
RKDA,BIO,RULE,B
RKTO,SHIP_DEF,RULE,B
RDI,TELCO_MEDIA,ML_NAME_IMPUTED,C3
RDVT,CONSUMER,ML_NAME_IMPUTED,C3
RBBN,TELCO_MEDIA,RULE,B
QUIK,CHEM_STEEL,ML_NAME_IMPUTED,C3
QSI,IT_HW,RULE,B
RFIL,SHIP_DEF,RULE,B
REG,HEALTH_SVC,ML_NAME_IMPUTED,C3
RIOT,SOFTWARE,RULE,B
REGN,BIO,EXPLICIT,A
RARE,BIO,RULE,B
QTI,SOFTWARE,ML_NAME_IMPUTED,C3
RMIX,SOFTWARE,ML_NAME_IMPUTED,C2
RGNX,CONSUMER,ML_NAME_IMPUTED,C3
RDWR,SOFTWARE,ML_NAME_IMPUTED,C3
REYN,CONSUMER,RULE,B
RGC,BIO,RULE,B
RDGT,IT_HW,ML_NAME_IMPUTED,C3
RGP,CHEM_STEEL,ML_NAME_IMPUTED,C2
QRVO,SEMI,EXPLICIT,A
RCEL,HEALTH_SVC,RULE,B
RGS,CHEM_STEEL,ML_NAME_IMPUTED,C3
RDZN,SOFTWARE,ML_NAME_IMPUTED,C3
RJET,CONSTRUCT,RULE,B
RELL,IT_HW,RULE,B
RLYB,CHEM_STEEL,ML_NAME_IMPUTED,C3
RACC,FINANCE,ML_NAME_IMPUTED,C3
RDIB,TELCO_MEDIA,ML_NAME_IMPUTED,C3
RACD,CHEM_STEEL,ML_NAME_IMPUTED,C3
RICK,HEALTH_SVC,RULE,B
QRHC,CHEM_STEEL,ML_NAME_IMPUTED,C3
QXL,IT_HW,RULE,B
RIVN,AUTO,EXPLICIT,A
RMNI,FINANCE,ML_NAME_IMPUTED,C3
QNST,SOFTWARE,ML_NAME_IMPUTED,C3
RENX,BATTERY,ML_NAME_IMPUTED,C3
RENT,SOFTWARE,ML_NAME_IMPUTED,C2
RELY,CONSUMER,ML_NAME_IMPUTED,C3
RAVE,CONSUMER,RULE,B
RGCO,CHEM_STEEL,ML_NAME_IMPUTED,C1
REPL,TELCO_MEDIA,ML_NAME_IMPUTED,C3
RKLB,SHIP_DEF,RULE,B
RGTI,CONSUMER,ML_NAME_IMPUTED,C3
QUBT,IT_HW,RULE,B
